id,multiplier,recorded_at
6430,6.4500,2026-05-22 13:51:30.660804+00
6431,1.2400,2026-05-22 13:51:47.418581+00
6432,4.0100,2026-05-22 13:52:12.08717+00
6433,1.4000,2026-05-22 13:52:28.673232+00
6434,3.0300,2026-05-22 13:53:01.967412+00
6435,1.9200,2026-05-22 13:53:18.556985+00
6436,3.3000,2026-05-22 13:53:51.976071+00
6437,4.7600,2026-05-22 13:54:16.980205+00
6438,2.2500,2026-05-22 13:54:42.169089+00
6439,8.4700,2026-05-22 13:55:23.601733+00
6440,1.0500,2026-05-22 13:55:40.238421+00
6441,1.1500,2026-05-22 13:55:48.547281+00
6442,2.5400,2026-05-22 13:56:13.370763+00
6443,2.0400,2026-05-22 13:56:38.534712+00
6444,1.1500,2026-05-22 13:56:55.255872+00
6445,6.9300,2026-05-22 13:57:28.257046+00
6446,2.3700,2026-05-22 13:57:53.448109+00
6447,2.1000,2026-05-22 13:58:18.464601+00
6448,9.1900,2026-05-22 13:58:51.765639+00
6449,1.3400,2026-05-22 13:59:08.587067+00
6450,1.0700,2026-05-22 13:59:25.280578+00
6451,43.3000,2026-05-22 14:00:23.085255+00
6452,9.1400,2026-05-22 14:00:56.371011+00
6453,1.0100,2026-05-22 14:01:13.036817+00
6454,29.8800,2026-05-22 14:02:02.435709+00
6455,2.1800,2026-05-22 14:02:27.602416+00
6456,1.1300,2026-05-22 14:02:44.54433+00
6457,2.1900,2026-05-22 14:03:09.688123+00
6458,2.2100,2026-05-22 14:03:35.043716+00
6459,3.4700,2026-05-22 14:04:00.098237+00
6460,2.0800,2026-05-22 14:04:24.979731+00
6461,1.3200,2026-05-22 14:04:41.771655+00
6462,2.6000,2026-05-22 14:05:06.64565+00
6463,1.2000,2026-05-22 14:05:23.354028+00
6464,42.8600,2026-05-22 14:06:21.111856+00
6465,1.2500,2026-05-22 14:06:37.757225+00
6466,1.1700,2026-05-22 14:06:54.40594+00
6467,17.6800,2026-05-22 14:07:35.712457+00
6468,4.7200,2026-05-22 14:08:08.90428+00
